# /usr/local/google/home/snehalv/maxtext/maxtext_venv/bin/python3 -m maxtext.checkpoint_conversion.inspect_checkpoint hf --path /usr/local/google/home/snehalv/deepseek4-hf-tiny-ckpt --format safetensors --output_file /usr/local/google/home/snehalv/maxtext/deepseek4-references/huggingface_structure.txt

key: head.weight | shape: [129280, 4096]
key: model.embed_tokens.weight | shape: [129280, 4096]
key: model.hc_head.hc_base | shape: [4]
key: model.hc_head.hc_fn | shape: [4, 16384]
key: model.hc_head.hc_scale | shape: [1]
key: model.layers.0.attn_hc.base | shape: [24]
key: model.layers.0.attn_hc.fn | shape: [24, 16384]
key: model.layers.0.attn_hc.scale | shape: [3]
key: model.layers.0.ffn_hc.base | shape: [24]
key: model.layers.0.ffn_hc.fn | shape: [24, 16384]
key: model.layers.0.ffn_hc.scale | shape: [3]
key: model.layers.0.input_layernorm.weight | shape: [4096]
key: model.layers.0.mlp.experts..0.w1.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..0.w2.weight | shape: [4096, 2048]
key: model.layers.0.mlp.experts..0.w3.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..1.w1.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..1.w2.weight | shape: [4096, 2048]
key: model.layers.0.mlp.experts..1.w3.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..2.w1.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..2.w2.weight | shape: [4096, 2048]
key: model.layers.0.mlp.experts..2.w3.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..3.w1.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..3.w2.weight | shape: [4096, 2048]
key: model.layers.0.mlp.experts..3.w3.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..4.w1.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..4.w2.weight | shape: [4096, 2048]
key: model.layers.0.mlp.experts..4.w3.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..5.w1.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..5.w2.weight | shape: [4096, 2048]
key: model.layers.0.mlp.experts..5.w3.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..6.w1.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..6.w2.weight | shape: [4096, 2048]
key: model.layers.0.mlp.experts..6.w3.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..7.w1.weight | shape: [2048, 4096]
key: model.layers.0.mlp.experts..7.w2.weight | shape: [4096, 2048]
key: model.layers.0.mlp.experts..7.w3.weight | shape: [2048, 4096]
key: model.layers.0.mlp.gate.tid2eid | shape: [129280, 3]
key: model.layers.0.mlp.gate.weight | shape: [8, 4096]
key: model.layers.0.mlp.shared_experts.down_proj.weight | shape: [4096, 2048]
key: model.layers.0.mlp.shared_experts.gate_proj.weight | shape: [2048, 4096]
key: model.layers.0.mlp.shared_experts.up_proj.weight | shape: [2048, 4096]
key: model.layers.0.post_attention_layernorm.weight | shape: [4096]
key: model.layers.0.self_attn.kv_norm.weight | shape: [512]
key: model.layers.0.self_attn.kv_proj.weight | shape: [512, 4096]
key: model.layers.0.self_attn.o_a_proj.weight | shape: [8192, 4096]
key: model.layers.0.self_attn.o_b_proj.weight | shape: [4096, 8192]
key: model.layers.0.self_attn.q_a_norm.weight | shape: [1024]
key: model.layers.0.self_attn.q_a_proj.weight | shape: [1024, 4096]
key: model.layers.0.self_attn.q_b_proj.weight | shape: [32768, 1024]
key: model.layers.0.self_attn.sinks | shape: [64]
key: model.layers.1.attn_hc.base | shape: [24]
key: model.layers.1.attn_hc.fn | shape: [24, 16384]
key: model.layers.1.attn_hc.scale | shape: [3]
key: model.layers.1.ffn_hc.base | shape: [24]
key: model.layers.1.ffn_hc.fn | shape: [24, 16384]
key: model.layers.1.ffn_hc.scale | shape: [3]
key: model.layers.1.input_layernorm.weight | shape: [4096]
key: model.layers.1.mlp.experts..0.w1.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..0.w2.weight | shape: [4096, 2048]
key: model.layers.1.mlp.experts..0.w3.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..1.w1.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..1.w2.weight | shape: [4096, 2048]
key: model.layers.1.mlp.experts..1.w3.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..2.w1.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..2.w2.weight | shape: [4096, 2048]
key: model.layers.1.mlp.experts..2.w3.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..3.w1.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..3.w2.weight | shape: [4096, 2048]
key: model.layers.1.mlp.experts..3.w3.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..4.w1.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..4.w2.weight | shape: [4096, 2048]
key: model.layers.1.mlp.experts..4.w3.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..5.w1.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..5.w2.weight | shape: [4096, 2048]
key: model.layers.1.mlp.experts..5.w3.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..6.w1.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..6.w2.weight | shape: [4096, 2048]
key: model.layers.1.mlp.experts..6.w3.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..7.w1.weight | shape: [2048, 4096]
key: model.layers.1.mlp.experts..7.w2.weight | shape: [4096, 2048]
key: model.layers.1.mlp.experts..7.w3.weight | shape: [2048, 4096]
key: model.layers.1.mlp.gate.tid2eid | shape: [129280, 3]
key: model.layers.1.mlp.gate.weight | shape: [8, 4096]
key: model.layers.1.mlp.shared_experts.down_proj.weight | shape: [4096, 2048]
key: model.layers.1.mlp.shared_experts.gate_proj.weight | shape: [2048, 4096]
key: model.layers.1.mlp.shared_experts.up_proj.weight | shape: [2048, 4096]
key: model.layers.1.post_attention_layernorm.weight | shape: [4096]
key: model.layers.1.self_attn.kv_norm.weight | shape: [512]
key: model.layers.1.self_attn.kv_proj.weight | shape: [512, 4096]
key: model.layers.1.self_attn.o_a_proj.weight | shape: [8192, 4096]
key: model.layers.1.self_attn.o_b_proj.weight | shape: [4096, 8192]
key: model.layers.1.self_attn.q_a_norm.weight | shape: [1024]
key: model.layers.1.self_attn.q_a_proj.weight | shape: [1024, 4096]
key: model.layers.1.self_attn.q_b_proj.weight | shape: [32768, 1024]
key: model.layers.1.self_attn.sinks | shape: [64]
key: model.layers.2.attn_hc.base | shape: [24]
key: model.layers.2.attn_hc.fn | shape: [24, 16384]
key: model.layers.2.attn_hc.scale | shape: [3]
key: model.layers.2.ffn_hc.base | shape: [24]
key: model.layers.2.ffn_hc.fn | shape: [24, 16384]
key: model.layers.2.ffn_hc.scale | shape: [3]
key: model.layers.2.input_layernorm.weight | shape: [4096]
key: model.layers.2.mlp.experts..0.w1.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..0.w2.weight | shape: [4096, 2048]
key: model.layers.2.mlp.experts..0.w3.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..1.w1.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..1.w2.weight | shape: [4096, 2048]
key: model.layers.2.mlp.experts..1.w3.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..2.w1.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..2.w2.weight | shape: [4096, 2048]
key: model.layers.2.mlp.experts..2.w3.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..3.w1.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..3.w2.weight | shape: [4096, 2048]
key: model.layers.2.mlp.experts..3.w3.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..4.w1.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..4.w2.weight | shape: [4096, 2048]
key: model.layers.2.mlp.experts..4.w3.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..5.w1.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..5.w2.weight | shape: [4096, 2048]
key: model.layers.2.mlp.experts..5.w3.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..6.w1.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..6.w2.weight | shape: [4096, 2048]
key: model.layers.2.mlp.experts..6.w3.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..7.w1.weight | shape: [2048, 4096]
key: model.layers.2.mlp.experts..7.w2.weight | shape: [4096, 2048]
key: model.layers.2.mlp.experts..7.w3.weight | shape: [2048, 4096]
key: model.layers.2.mlp.gate.tid2eid | shape: [129280, 3]
key: model.layers.2.mlp.gate.weight | shape: [8, 4096]
key: model.layers.2.mlp.shared_experts.down_proj.weight | shape: [4096, 2048]
key: model.layers.2.mlp.shared_experts.gate_proj.weight | shape: [2048, 4096]
key: model.layers.2.mlp.shared_experts.up_proj.weight | shape: [2048, 4096]
key: model.layers.2.post_attention_layernorm.weight | shape: [4096]
key: model.layers.2.self_attn.compressor.gate_proj.weight | shape: [1024, 4096]
key: model.layers.2.self_attn.compressor.indexer.gate_proj.weight | shape: [256, 4096]
key: model.layers.2.self_attn.compressor.indexer.kv_norm.weight | shape: [128]
key: model.layers.2.self_attn.compressor.indexer.kv_proj.weight | shape: [256, 4096]
key: model.layers.2.self_attn.compressor.indexer.position_bias | shape: [4, 256]
key: model.layers.2.self_attn.compressor.indexer.q_b_proj.weight | shape: [8192, 1024]
key: model.layers.2.self_attn.compressor.indexer.scorer.weights_proj.weight | shape: [64, 4096]
key: model.layers.2.self_attn.compressor.kv_norm.weight | shape: [512]
key: model.layers.2.self_attn.compressor.kv_proj.weight | shape: [1024, 4096]
key: model.layers.2.self_attn.compressor.position_bias | shape: [4, 1024]
key: model.layers.2.self_attn.kv_norm.weight | shape: [512]
key: model.layers.2.self_attn.kv_proj.weight | shape: [512, 4096]
key: model.layers.2.self_attn.o_a_proj.weight | shape: [8192, 4096]
key: model.layers.2.self_attn.o_b_proj.weight | shape: [4096, 8192]
key: model.layers.2.self_attn.q_a_norm.weight | shape: [1024]
key: model.layers.2.self_attn.q_a_proj.weight | shape: [1024, 4096]
key: model.layers.2.self_attn.q_b_proj.weight | shape: [32768, 1024]
key: model.layers.2.self_attn.sinks | shape: [64]
key: model.layers.3.attn_hc.base | shape: [24]
key: model.layers.3.attn_hc.fn | shape: [24, 16384]
key: model.layers.3.attn_hc.scale | shape: [3]
key: model.layers.3.ffn_hc.base | shape: [24]
key: model.layers.3.ffn_hc.fn | shape: [24, 16384]
key: model.layers.3.ffn_hc.scale | shape: [3]
key: model.layers.3.input_layernorm.weight | shape: [4096]
key: model.layers.3.mlp.experts..0.w1.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..0.w2.weight | shape: [4096, 2048]
key: model.layers.3.mlp.experts..0.w3.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..1.w1.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..1.w2.weight | shape: [4096, 2048]
key: model.layers.3.mlp.experts..1.w3.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..2.w1.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..2.w2.weight | shape: [4096, 2048]
key: model.layers.3.mlp.experts..2.w3.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..3.w1.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..3.w2.weight | shape: [4096, 2048]
key: model.layers.3.mlp.experts..3.w3.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..4.w1.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..4.w2.weight | shape: [4096, 2048]
key: model.layers.3.mlp.experts..4.w3.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..5.w1.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..5.w2.weight | shape: [4096, 2048]
key: model.layers.3.mlp.experts..5.w3.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..6.w1.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..6.w2.weight | shape: [4096, 2048]
key: model.layers.3.mlp.experts..6.w3.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..7.w1.weight | shape: [2048, 4096]
key: model.layers.3.mlp.experts..7.w2.weight | shape: [4096, 2048]
key: model.layers.3.mlp.experts..7.w3.weight | shape: [2048, 4096]
key: model.layers.3.mlp.gate.e_score_correction_bias | shape: [8]
key: model.layers.3.mlp.gate.weight | shape: [8, 4096]
key: model.layers.3.mlp.shared_experts.down_proj.weight | shape: [4096, 2048]
key: model.layers.3.mlp.shared_experts.gate_proj.weight | shape: [2048, 4096]
key: model.layers.3.mlp.shared_experts.up_proj.weight | shape: [2048, 4096]
key: model.layers.3.post_attention_layernorm.weight | shape: [4096]
key: model.layers.3.self_attn.compressor.gate_proj.weight | shape: [512, 4096]
key: model.layers.3.self_attn.compressor.kv_norm.weight | shape: [512]
key: model.layers.3.self_attn.compressor.kv_proj.weight | shape: [512, 4096]
key: model.layers.3.self_attn.compressor.position_bias | shape: [128, 512]
key: model.layers.3.self_attn.kv_norm.weight | shape: [512]
key: model.layers.3.self_attn.kv_proj.weight | shape: [512, 4096]
key: model.layers.3.self_attn.o_a_proj.weight | shape: [8192, 4096]
key: model.layers.3.self_attn.o_b_proj.weight | shape: [4096, 8192]
key: model.layers.3.self_attn.q_a_norm.weight | shape: [1024]
key: model.layers.3.self_attn.q_a_proj.weight | shape: [1024, 4096]
key: model.layers.3.self_attn.q_b_proj.weight | shape: [32768, 1024]
key: model.layers.3.self_attn.sinks | shape: [64]
key: model.layers.4.attn_hc.base | shape: [24]
key: model.layers.4.attn_hc.fn | shape: [24, 16384]
key: model.layers.4.attn_hc.scale | shape: [3]
