step,loss
18,9.558
47,8.084
62,7.665
63,7.596
89,6.945
103,6.651
107,6.596
128,6.260
164,5.825
172,5.738
191,5.615
203,5.536
244,5.341
259,5.254
282,5.188
285,5.149
319,5.025
366,4.889
386,4.865
402,4.796
415,4.773
437,4.707
465,4.680
475,4.628
481,4.631
510,4.532
533,4.466
538,4.487
540,4.491
556,4.476
562,4.464
594,4.355
596,4.390
637,4.306
643,4.328
644,4.318
658,4.255
675,4.249
721,4.179
764,4.095
775,4.078
804,4.058
857,3.933
866,3.951
886,3.914
942,3.836
999,3.803
1015,3.782
1026,3.757
1037,3.721
1056,3.709
1071,3.710
1109,3.652
1111,3.666
1125,3.665
1132,3.692
1151,3.636
1152,3.613
1164,3.627
1174,3.600
1176,3.638
1184,3.589
1218,3.579
1252,3.599
1254,3.576
1257,3.565
1261,3.556
1267,3.584
1271,3.507
1325,3.533
1345,3.508
1375,3.481
1376,3.475
1417,3.451
1457,3.415
1458,3.417
1494,3.449
1502,3.453
1510,3.407
1513,3.386
1548,3.391
1551,3.438
1565,3.420
1568,3.404
1585,3.386
1596,3.399
1627,3.418
1635,3.363
1670,3.357
1685,3.378
1702,3.316
1704,3.361
1711,3.351
1777,3.343
1847,3.278
1860,3.305
1867,3.261
1899,3.287
1902,3.277
1909,3.286
1940,3.271
1960,3.301
1961,3.282
1979,3.276
2070,3.267
2079,3.262
2089,3.269
2100,3.242
2209,3.233
2239,3.203
2319,3.176
2359,3.168
2394,3.145
2436,3.129
2441,3.117
2454,3.153
2462,3.149
2465,3.141
2485,3.155
2503,3.147
2517,3.129
2530,3.149
2577,3.094
2578,3.127
2599,3.105
2627,3.108
2635,3.097
2643,3.124
2684,3.103
2693,3.119
2708,3.102
2717,3.122
2734,3.093
2740,3.106
2753,3.104
2754,3.101
2755,3.132
2765,3.087
2768,3.104
2785,3.105
2812,3.102
2834,3.071
2844,3.096
2861,3.107
2921,3.041
2952,3.065
2955,3.107
2962,3.062
2973,3.068
3034,3.075
3083,3.012
3084,3.042
3103,3.012
3104,3.052
3105,3.031
3120,3.031
3145,3.041
3173,3.029
3192,3.018
3199,3.010
3217,3.008
3220,2.989
3241,3.019
3265,2.993
3268,3.033
3306,3.024
3340,2.983
3356,3.018
3404,2.980
3461,3.001
3483,2.985
3484,2.988
3491,2.958
3500,2.999
3526,2.956
3566,2.972
3569,2.972
3600,3.018
3616,2.956
3654,2.982
3657,2.961
3659,2.985
3661,2.959
3664,2.917
3668,2.977
3671,2.965
3690,2.977
3712,2.957
3761,2.948
3782,2.957
3848,2.936
3850,2.931
3869,2.958
3902,2.923
3911,2.953
3915,2.948
3921,2.925
3933,2.949
3936,2.958
3975,2.950
4012,2.934
4014,2.929
4023,2.917
4034,2.920
4040,2.933
4047,2.916
4084,2.900
4109,2.925
4115,2.927
4121,2.962
4124,2.943
4146,2.947
4181,2.937
4192,2.896
4227,2.928
4257,2.892
4318,2.906
4328,2.938
4395,2.904
4443,2.901
4454,2.933
4525,2.857
4535,2.898
4539,2.869
4564,2.869
4609,2.849
4612,2.873
4649,2.852
4686,2.865
4690,2.863
4692,2.845
4698,2.859
4707,2.885
4730,2.871
4737,2.909
4776,2.823
4777,2.858
4807,2.856
4830,2.826
4832,2.846
4835,2.851
4836,2.822
4844,2.878
4882,2.829
4910,2.851
4929,2.823
4940,2.834
4949,2.853
4980,2.855
4991,2.830
5047,2.821
5066,2.859
5079,2.863
5088,2.836
5090,2.835
5132,2.822
5136,2.832
5140,2.837
